State,Total_Sales,Average_Profit
Andhra Pradesh,13256.0,-11.80952380952381
Bihar,12943.0,-5.17741935483871
Delhi,22531.0,40.36486486486486
Goa,6705.0,8.604651162790697
Gujarat,21058.0,5.344827586206897
Haryana,8863.0,50.96153846153846
Himachal Pradesh,8666.0,22.620689655172413
Jammu and Kashmir,10829.0,0.16326530612244897
Karnataka,15058.0,11.944444444444445
Kerala ,13459.0,41.577777777777776
Madhya Pradesh,105140.0,16.326470588235296
Maharashtra,95348.0,21.29655172413793
Nagaland,11903.0,3.2888888888888888
Punjab,16786.0,-10.15
Rajasthan,21149.0,16.986486486486488
Sikkim,5276.0,16.708333333333332
Tamil Nadu,6087.0,-88.64
Uttar Pradesh,22359.0,47.60294117647059
West Bengal,14086.0,39.682539682539684
